Loss,Time,Solver,Subset,p
467893.4719114965,0.734079122543335,Analytic,Test,1002
1.8686720520708573e+23,0.475844144821167,SGD,Train,1002
1.7763186100901323e+23,0.475844144821167,SGD,Test,1002
3.398584675787302e-20,0.729785680770874,Analytic,Train,1002
467893.4719114965,0.729785680770874,Analytic,Test,1002
1.6818617626365172e+24,0.4445176124572754,SGD,Train,1002
1.6551593492925022e+24,0.4445176124572754,SGD,Test,1002
3.398584675787302e-20,0.7635786533355713,Analytic,Train,1002
467893.4719114965,0.7635786533355713,Analytic,Test,1002
3.2836168355949715e+19,0.8461873531341553,SGD,Train,1002
1.3118387564393445e+19,0.8461873531341553,SGD,Test,1002
3.398584675787302e-20,0.7467689514160156,Analytic,Train,1002
467893.4719114965,0.7467689514160156,Analytic,Test,1002
1.196815189810624e+24,0.5023534297943115,SGD,Train,1002
1.1703090555978953e+24,0.5023534297943115,SGD,Test,1002
3.398584675787302e-20,0.718050479888916,Analytic,Train,1002
467893.4719114965,0.718050479888916,Analytic,Test,1002
2.3308017396620372e+24,0.3616621494293213,SGD,Train,1002
2.302237273853462e+24,0.3616621494293213,SGD,Test,1002
3.398584675787302e-20,0.7179543972015381,Analytic,Train,1002
467893.4719114965,0.7179543972015381,Analytic,Test,1002
2.6214594545968978e+23,0.5767652988433838,SGD,Train,1002
2.5445658352561818e+23,0.5767652988433838,SGD,Test,1002
3.398584675787302e-20,0.7244505882263184,Analytic,Train,1002
467893.4719114965,0.7244505882263184,Analytic,Test,1002
2.3438895873827048e+24,0.42583632469177246,SGD,Train,1002
2.279590883219182e+24,0.42583632469177246,SGD,Test,1002
3.398584675787302e-20,0.7740457057952881,Analytic,Train,1002
467893.4719114965,0.7740457057952881,Analytic,Test,1002
6.29571737581473e-08,3.480013132095337,SGD,Train,1002
467893.29043657647,3.480013132095337,SGD,Test,1002
3.398584675787302e-20,0.7398784160614014,Analytic,Train,1002
467893.4719114965,0.7398784160614014,Analytic,Test,1002
5.68615564716452e-08,3.2666964530944824,SGD,Train,1002
467893.1540571408,3.2666964530944824,SGD,Test,1002
3.398584675787302e-20,0.7306230068206787,Analytic,Train,1002
467893.4719114965,0.7306230068206787,Analytic,Test,1002
1.8743585972022733e-08,3.490126609802246,SGD,Train,1002
467893.5456311741,3.490126609802246,SGD,Test,1002
3.398584675787302e-20,0.7278635501861572,Analytic,Train,1002
